Name	Description	A1R3	C2R3	F2R3	A2R3	D2R3	E1R3
P07858	comp59845_c0_seq1	8792	3531	4566	2222	4551	4038
B7ZAQ6	comp59850_c0_seq1	139	54	81	42	102	88
Q6P2H3	comp59861_c0_seq1	135	51	53	45	110	81
P48740	comp59864_c0_seq1	2090	1386	1651	689	1160	944
Q5EBL4	comp59916_c0_seq1	544	154	216	94	190	204
Q15427	comp59923_c0_seq1	261	110	142	63	171	103
Q9HD42	comp59931_c0_seq1	398	195	264	127	336	270
Q9BW91	comp59935_c0_seq1	222	137	176	95	197	168
Q07889	comp59945_c0_seq1	1249	624	842	343	745	551
P40424	comp59953_c0_seq1	1535	553	846	340	831	748
Q9Y570	comp59979_c0_seq1	125	56	88	38	74	67
O00299	comp59989_c0_seq1	604	356	481	226	569	486
Q96MT8	comp59998_c0_seq2	203	52	101	27	92	65
O75347	comp60008_c0_seq1	205	75	114	47	117	94
Q9UDY4	comp60023_c0_seq1	184	69	103	41	106	107
Q9BXW7	comp60032_c0_seq4	122	41	51	34	89	83
Q86UA6	comp60052_c1_seq3	51	17	35	21	44	32
Q9UBI1	comp60058_c0_seq2	500	205	292	156	471	427
P25786	comp60063_c0_seq1	669	288	341	184	408	366
Q9HDC9	comp60097_c0_seq1	311	131	163	105	259	217
Q5VWP2	comp60137_c0_seq1	358	169	324	181	495	367
Q99685	comp60155_c0_seq1	282	137	170	78	138	107
Q96KS9	comp60177_c0_seq1	26	6	16	5	21	17
P49821	comp60183_c0_seq1	3009	1419	1736	902	1981	1465
Q14123	comp60185_c0_seq3	79	30	43	24	50	40
Q9UI14	comp60186_c1_seq1	570	252	340	192	491	426
Q96E17	comp60201_c0_seq1	494	202	288	134	433	320
Q5VTL8	comp60204_c0_seq1	377	135	212	92	238	146
Q6PK04	comp60207_c0_seq1	125	42	75	27	81	72
P32456	comp60209_c0_seq2	165	75	82	81	195	123
O75140	comp60222_c0_seq1	338	127	198	86	138	93
Q00613	comp60228_c0_seq1	1828	545	969	205	530	448
Q14146	comp60234_c0_seq1	97	38	47	42	67	50
Q9BVL2	comp60236_c0_seq1	240	118	159	116	245	163
Q9H501	comp60261_c0_seq1	364	112	226	105	206	228
Q8NBQ7	comp60310_c0_seq1	190	82	104	35	86	92
P30049	comp60319_c0_seq1	817	358	471	364	710	579
Q5T013	comp60321_c0_seq2	85	31	44	15	47	44
A7E2V4	comp60327_c0_seq1	771	324	382	160	392	239
P86791	comp60333_c0_seq3	113	36	55	18	87	85
Q5KU26	comp60384_c0_seq1	40	12	18	28	55	42
Q9HB71	comp60389_c0_seq1	379	171	225	142	226	217
Q9Y376	comp60394_c0_seq1	988	455	643	326	655	534
P09619	comp60406_c0_seq1	220	40	127	29	60	43
Q9Y2V7	comp60410_c0_seq1	77	29	32	8	26	21
Q96F45	comp60419_c0_seq1	759	416	546	257	487	375
Q9Y466	comp60420_c0_seq1	77	23	41	30	96	55
Q8NDD1	comp60454_c0_seq1	140	59	72	31	73	95
Q9P1Y5	comp60490_c0_seq3	1110	365	481	217	496	431
O60336	comp60501_c0_seq1	162	87	112	27	25	15
P46100	comp60509_c1_seq1	965	248	427	246	600	526
P47985	comp60512_c0_seq1	998	434	626	385	864	812
Q11130	comp60518_c0_seq1	137	74	83	29	65	39
P52797	comp60530_c0_seq1	297	163	211	42	134	82
P61326	comp60555_c0_seq1	632	311	378	259	454	418
Q8TB52	comp60556_c0_seq1	71	26	45	23	55	39
Q8NCU4	comp60560_c0_seq1	500	143	238	98	260	190
P32242	comp60584_c0_seq2	197	97	86	28	66	61
Q4AC94	comp60588_c0_seq1	160	34	56	14	60	39
Q5I0X7	comp60599_c0_seq1	124	60	75	33	90	80
Q9UK41	comp60604_c0_seq1	299	85	147	89	190	168
Q9BZJ0	comp60623_c0_seq3	498	253	317	175	320	274
Q15760	comp60628_c0_seq1	149	54	101	35	112	102
O94905	comp60661_c0_seq1	881	434	536	354	680	535
Q8N137	comp60689_c0_seq1	301	71	156	91	172	152
Q9Y394	comp60706_c0_seq2	232	97	124	64	181	140
Q8WUN7	comp60745_c0_seq1	504	236	346	108	305	197
Q9UGM6	comp60764_c0_seq1	32	6	20	8	20	24
Q9H469	comp60801_c0_seq1	46	35	35	23	38	35
Q6L9W6	comp60831_c0_seq1	194	101	136	59	119	76
Q9Y385	comp60835_c0_seq2	258	74	88	57	127	119
O43614	comp60837_c0_seq1	126	39	74	24	61	29
Q96M20	comp60840_c0_seq1	86	44	46	22	43	36
M0R2J8	comp60845_c0_seq1	787	305	487	112	336	271
P53611	comp60849_c0_seq1	434	200	232	156	327	243
Q5VVB8	comp60865_c0_seq3	57	18	46	19	57	30
Q8N0X7	comp60877_c0_seq1	798	293	373	137	296	272
Q09028	comp60922_c0_seq1	668	234	306	201	485	362
P21589	comp60926_c0_seq1	603	324	466	510	909	777
P0DN76	comp60927_c0_seq3	942	498	581	294	671	550
O75175	comp60930_c0_seq2	1142	403	564	235	551	451
Q8IYS1	comp60946_c0_seq1	396	131	198	127	255	238
Q9ULX3	comp60983_c0_seq2	204	45	73	42	113	88
Q06546	comp60984_c0_seq2	299	198	211	61	96	60
Q9UNQ0	comp60995_c0_seq1	207	74	82	34	85	58
Q96Q35	comp61058_c0_seq1	447	120	245	68	265	243
Q9GZR5	comp61107_c0_seq2	783	453	835	1698	3273	2832
P08138	comp61114_c0_seq1	442	166	312	61	146	94
Q9Y496	comp61122_c0_seq1	541	116	229	79	262	175
Q02763	comp61127_c0_seq4	760	474	551	211	506	364
P62191	comp61143_c0_seq1	842	233	354	207	429	411
Q99732	comp61189_c0_seq1	1658	865	1092	680	1382	1076
Q9H9A7	comp61191_c0_seq4	61	20	45	27	53	39
Q96B97	comp61196_c0_seq2	1153	539	802	264	526	382
O14972	comp61198_c0_seq2	198	92	116	48	116	115
Q6PJI9	comp61199_c0_seq1	293	98	181	94	225	165
Q14687	comp61225_c0_seq7	896	297	375	164	384	263
Q6MZP7	comp61230_c0_seq1	269	125	179	97	194	142
Q9BX10	comp61239_c0_seq1	602	236	278	115	249	207
Q96EK9	comp61264_c0_seq1	85	37	49	36	49	43
O00487	comp61292_c0_seq1	451	161	223	138	301	233
Q7L266	comp61306_c0_seq1	228	79	112	73	163	123
Q6IQ20	comp61307_c0_seq1	84	48	66	23	41	27
Q9BSD7	comp61316_c0_seq1	307	144	171	71	181	125
Q9UPR0	comp61328_c0_seq4	139	83	104	21	64	27
P40692	comp61337_c0_seq6	66	18	30	11	29	22
Q15700	comp61367_c0_seq2	3447	1171	1676	784	2152	1807
Q15131	comp61372_c0_seq3	135	49	60	38	70	40
Q6NW40	comp61378_c1_seq2	190	114	199	264	761	664
P10244	comp61401_c0_seq1	351	96	209	68	140	85
Q9UKE5	comp61411_c0_seq1	1195	476	719	284	752	591
Q9NX31	comp61449_c0_seq1	139	49	56	30	66	50
Q9ULT6	comp61464_c0_seq1	864	258	478	137	380	348
Q9BZB8	comp61478_c0_seq1	105	63	66	21	60	41
P16219	comp61479_c0_seq2	304	94	129	72	131	133
Q8TD10	comp61481_c0_seq1	131	28	77	20	67	57
Q8IYB3	comp61497_c0_seq1	4047	1494	1989	868	2011	1609
Q9H425	comp61532_c0_seq1	163	88	95	56	122	101
Q13442	comp61534_c0_seq1	449	99	211	134	224	240
Q6ZUX7	comp61547_c0_seq1	830	469	667	268	562	418
Q96B21	comp61549_c0_seq1	16	6	11	7	18	6
Q8TBZ9	comp61590_c0_seq1	49	24	45	30	50	42
Q9UBT2	comp61610_c1_seq2	180	76	84	41	127	111
Q99613	comp61634_c0_seq2	1611	472	790	388	942	851
Q92485	comp61649_c0_seq4	104	76	112	46	86	73
Q8WY41	comp61655_c0_seq1	807	318	726	165	413	317
Q66PJ3	comp61664_c0_seq2	155	53	58	28	66	69
Q9NPJ8	comp61713_c0_seq1	87	29	43	27	62	53
Q9H9Y4	comp61753_c0_seq1	52	31	35	19	32	30
Q9UPV0	comp61756_c0_seq2	902	330	413	213	482	478
O75152	comp61764_c0_seq1	69	63	71	26	39	32
Q9NXS3	comp61788_c0_seq3	95	45	53	27	76	59
Q12794	comp61796_c0_seq1	200	74	102	66	153	109
Q86YQ8	comp61815_c0_seq3	64	27	43	12	30	9
Q8TCU4	comp61816_c0_seq3	259	117	140	57	112	91
Q86UV5	comp61827_c0_seq2	313	116	143	63	181	108
Q86UB9	comp61848_c0_seq6	183	82	123	92	172	163
Q9Y5N5	comp61862_c0_seq2	63	11	22	7	19	15
Q9P0M2	comp61885_c0_seq2	436	163	222	28	103	92
Q99417	comp61886_c0_seq1	667	279	422	289	411	477
Q8N2M4	comp61894_c0_seq1	1145	369	576	220	549	454
Q9Y2Q5	comp61910_c0_seq1	494	190	306	190	324	281
O75410	comp61969_c0_seq1	374	133	182	74	177	143
Q08209	comp61977_c0_seq1	1592	728	946	562	1051	798
Q9P2Y5	comp61979_c0_seq1	297	140	171	52	103	77
P51797	comp61980_c0_seq7	376	181	197	73	196	121
O75907	comp61993_c0_seq1	1414	773	855	526	936	808
O95631	comp61994_c1_seq1	153	47	131	126	170	162
Q9BUE6	comp62004_c0_seq1	135	100	99	54	140	97
Q8N441	comp62008_c0_seq1	1449	672	715	612	1022	775
Q14249	comp62021_c0_seq2	75	38	30	27	63	40
O15126	comp62032_c0_seq2	1817	982	1195	345	724	509
P20132	comp62037_c0_seq1	221	114	123	41	121	68
Q9P2D3	comp62041_c0_seq1	108	67	98	10	20	8
P61970	comp62048_c0_seq1	354	160	218	150	308	265
Q96RQ3	comp62070_c0_seq1	399	129	189	84	222	173
Q6ZNE9	comp62071_c0_seq1	53	19	32	36	107	62
Q86YB8	comp62079_c0_seq2	357	113	187	81	214	224
Q8WTT2	comp62082_c0_seq3	434	119	187	112	241	243
Q9GZN8	comp62082_c1_seq1	291	150	188	130	347	257
Q13888	comp62096_c0_seq3	69	35	31	14	29	23
Q9NZF1	comp62104_c1_seq1	534	329	457	404	770	858
Q6ZWT7	comp62111_c0_seq2	81	28	42	8	24	17
Q9NW08	comp62114_c0_seq2	382	161	210	81	156	71
Q8NEB9	comp62118_c0_seq8	69	25	23	21	32	20
P0C870	comp62164_c0_seq1	45	24	25	14	44	25
Q9H4L7	comp62179_c0_seq1	39	10	13	11	13	15
Q9NQ88	comp62180_c0_seq2	39	21	25	3	14	18
Q9UBU8	comp62192_c0_seq1	79	26	34	31	53	54
Q9UPQ3	comp62197_c0_seq1	476	144	232	118	367	264
Q8IW45	comp62209_c0_seq1	391	165	210	102	210	180
Q71UI9	comp62234_c0_seq1	1172	479	601	435	984	919
Q495W5	comp62281_c0_seq1	474	203	256	163	386	259
P49585	comp62309_c0_seq2	461	148	307	198	501	408
Q96PM5	comp62319_c0_seq1	54	23	28	22	46	39
O75204	comp62339_c0_seq1	244	198	193	108	318	207
P56282	comp62349_c0_seq1	28	14	25	18	19	20
Q49AM3	comp62370_c0_seq1	461	170	229	105	208	223
Q8TD08	comp62389_c0_seq1	247	88	144	73	238	195
O15381	comp62407_c0_seq8	574	197	253	120	298	211
Q92859	comp62418_c0_seq1	709	269	439	190	406	176
P11801	comp62420_c0_seq2	159	46	80	35	105	78
P62079	comp62429_c0_seq1	323	143	233	50	126	85
Q9Y2I9	comp62449_c0_seq1	264	53	103	36	133	92
Q9NUN5	comp62451_c0_seq2	951	462	691	323	970	787
O75821	comp62453_c0_seq1	347	109	167	148	223	209
Q9H4Q4	comp62458_c0_seq1	27	6	14	3	31	29
Q9BQ75	comp62504_c0_seq3	154	81	102	40	90	105
Q9H977	comp62525_c0_seq1	209	77	119	72	185	105
Q8N129	comp62555_c0_seq1	249	45	92	45	142	150
P46977	comp62565_c0_seq1	3467	1467	1834	1046	2317	1764
Q6ZWL3	comp62603_c0_seq2	207	101	124	68	143	113
Q9BQ69	comp62654_c0_seq1	405	155	229	128	316	215
P49441	comp62678_c0_seq1	122	67	113	31	101	52
Q8IWR1	comp62690_c0_seq6	86	38	48	16	24	17
P21266	comp62727_c0_seq2	444	232	303	206	417	374
P57081	comp62741_c0_seq7	345	102	175	43	171	130
Q9H488	comp62744_c0_seq3	131	64	77	33	77	65
Q6N063	comp62749_c0_seq4	130	50	64	33	96	74
Q9UNM6	comp62754_c0_seq1	410	145	246	141	303	282
Q8TEH3	comp62755_c0_seq2	231	121	145	59	128	90
Q86U86	comp62775_c0_seq1	1523	470	609	207	549	357
Q5QJE6	comp62785_c0_seq1	272	83	120	64	136	157
Q969M7	comp62788_c0_seq2	218	99	143	65	170	146
Q16637	comp62807_c0_seq2	201	82	122	71	141	86
P78330	comp62812_c0_seq1	74	16	39	111	221	244
Q9Y366	comp62818_c0_seq1	331	125	226	105	186	149
Q70CQ2	comp62821_c0_seq1	1660	654	832	283	584	435
P26358	comp62836_c0_seq1	159	63	73	47	90	105
Q9BZC7	comp62844_c0_seq1	1700	628	918	378	845	590
Q9UEU0	comp62859_c0_seq1	515	220	281	123	294	245
Q9NY64	comp62860_c0_seq1	762	344	542	292	569	455
Q99714	comp62865_c0_seq1	28	5	10	11	18	13
Q6ZNF0	comp62866_c0_seq2	34	7	19	30	69	57
P19388	comp62881_c0_seq1	157	47	76	40	120	107
Q96LL9	comp62883_c0_seq1	40	14	17	13	27	28
Q6UVJ0	comp62886_c0_seq5	51	20	17	7	35	23
Q9Y261	comp62887_c0_seq2	510	101	468	17	63	41
Q96EY9	comp62892_c0_seq4	71	22	34	25	54	30
Q14703	comp62895_c0_seq1	958	355	544	298	602	446
O00534	comp62916_c0_seq1	69	38	49	18	35	25
P61086	comp62926_c0_seq1	482	249	325	184	358	280
Q8TAT6	comp62927_c0_seq1	1422	475	658	220	538	440
B4E2M5	comp62944_c0_seq2	130	85	92	32	59	58
Q9Y6A4	comp62948_c0_seq1	213	125	150	90	188	224
O95164	comp62950_c0_seq1	678	454	627	183	524	363
Q96PE2	comp62956_c0_seq1	1723	926	1019	364	904	559
Q7Z569	comp62957_c0_seq2	276	73	129	48	136	107
P61457	comp62972_c0_seq1	93	35	40	38	55	39
P19532	comp62982_c0_seq1	2822	921	1704	435	1125	781
Q92674	comp62988_c0_seq1	33	18	31	27	31	42
Q96QF7	comp63005_c0_seq1	21	8	13	4	13	15
Q6N021	comp63007_c0_seq1	1164	460	757	221	582	330
P27105	comp63027_c0_seq1	70	11	41	57	110	75
O43805	comp63062_c0_seq1	133	69	107	69	139	116
Q9NU19	comp63076_c0_seq3	625	391	477	208	421	333
Q9NP79	comp63079_c0_seq1	177	81	91	49	99	64
Q5JTN6	comp63097_c0_seq2	136	42	80	28	84	34
Q9GZV3	comp63102_c0_seq4	425	148	163	41	110	86
P50502	comp63119_c0_seq1	1171	399	576	203	474	505
Q9BUP3	comp63136_c0_seq1	259	173	165	104	219	165
Q5VSL9	comp63140_c0_seq6	202	82	114	37	99	56
Q14671	comp63141_c0_seq1	1344	727	1023	335	820	662
O75529	comp63154_c0_seq1	54	32	31	15	23	19
Q9BUZ4	comp63158_c0_seq1	124	43	101	25	112	93
Q9H0Z9	comp63165_c0_seq1	676	482	529	139	345	323
P52799	comp63166_c0_seq2	178	122	154	44	71	53
Q9NR33	comp63171_c0_seq1	48	17	26	16	23	32
P16118	comp63172_c0_seq1	120	65	108	48	138	112
Q53H80	comp63189_c0_seq1	353	178	268	132	445	355
Q92506	comp63191_c0_seq1	155	69	82	41	70	60
Q9NRW7	comp63194_c0_seq1	598	226	318	233	517	394
Q05C16	comp63198_c0_seq2	181	65	109	35	107	95
P07195	comp63205_c0_seq1	489	208	296	237	591	486
Q9UL03	comp63212_c0_seq1	235	95	133	56	120	136
Q9P2W1	comp63228_c0_seq3	38	14	12	31	20	23
Q99961	comp63239_c1_seq1	1075	298	435	94	274	236
Q86YS7	comp63248_c0_seq2	275	102	141	57	128	103
Q9UH92	comp63269_c0_seq1	333	91	160	92	210	243
Q16630	comp63274_c0_seq4	1027	326	499	147	598	391
Q16401	comp63276_c0_seq1	116	43	66	38	78	59
P49591	comp63277_c0_seq1	1501	808	921	364	679	645
Q8N0Z2	comp63288_c0_seq2	43	25	40	10	36	26
Q99460	comp63293_c0_seq2	1484	605	784	452	819	641
Q8TF01	comp63320_c0_seq3	976	400	505	205	579	430
O43684	comp63325_c0_seq1	382	112	156	100	262	232
P35610	comp63326_c1_seq1	225	102	161	45	119	83
P55263	comp63354_c0_seq1	553	120	194	168	291	359
O14976	comp63370_c0_seq3	1099	476	643	256	561	383
Q9NZB2	comp63386_c0_seq1	1631	852	964	599	1092	943
Q9H2U1	comp63395_c0_seq1	710	329	457	248	443	327
Q9NTX5	comp63435_c0_seq12	221	103	124	81	189	149
Q15818	comp63449_c0_seq1	44	18	42	22	33	14
Q00537	comp63464_c0_seq7	992	469	591	297	744	593
Q96A56	comp63466_c0_seq1	116	19	45	70	182	210
O75027	comp63490_c0_seq1	204	73	118	50	118	74
Q9BVV7	comp63526_c0_seq1	174	92	107	89	137	119
O95319	comp63543_c0_seq1	866	432	514	256	471	342
Q96SK2	comp63560_c0_seq1	454	188	229	166	317	213
Q9Y5W9	comp63562_c0_seq1	1034	362	641	260	504	411
Q16531	comp63563_c0_seq1	808	304	385	215	481	375
P28066	comp63579_c0_seq1	245	68	108	81	156	137
P14618	comp63609_c0_seq1	1153	582	745	526	1031	640
P48556	comp63624_c0_seq1	379	161	196	118	251	229
P49366	comp63634_c0_seq1	323	99	151	71	175	195
Q9Y646	comp63639_c0_seq1	1239	616	804	352	683	509
P38432	comp63647_c0_seq6	166	38	85	40	121	93
Q05BQ5	comp63651_c0_seq1	1836	1091	1291	540	1132	833
A8MTA8	comp63652_c0_seq2	264	128	177	98	201	206
Q2VPK5	comp63656_c0_seq1	122	54	63	27	60	57
Q9C0H5	comp63677_c0_seq1	172	80	103	52	98	50
Q9UHX1	comp63682_c0_seq1	1242	477	685	284	659	449
Q08379	comp63711_c0_seq1	966	256	440	187	479	355
P55265	comp63722_c0_seq2	209	77	129	54	165	117
O43897	comp63729_c0_seq1	3001	1412	1902	659	1458	1150
O14773	comp63738_c0_seq1	58	30	27	24	34	19
Q4V328	comp63762_c0_seq2	341	65	117	56	125	119
A2VDJ0	comp63774_c0_seq1	1296	617	786	418	1090	699
Q9H4B6	comp63775_c0_seq2	208	49	82	69	168	145
O43741	comp63785_c0_seq1	750	552	646	418	884	675
P18615	comp63789_c0_seq1	352	92	158	109	231	236
Q96BP2	comp63791_c0_seq1	132	55	72	61	92	108
Q15915	comp63801_c2_seq5	469	246	286	412	1020	793
Q96EY8	comp63809_c0_seq1	245	84	125	43	140	113
Q9BRK5	comp63816_c0_seq1	1076	637	754	412	635	513
O43264	comp63826_c0_seq2	135	34	64	22	82	51
Q9HCB6	comp63836_c0_seq1	160	55	152	25	115	109
A1XBS5	comp63837_c0_seq5	142	48	85	31	91	84
P13686	comp63852_c0_seq1	69	30	29	24	66	60
Q00987	comp63853_c0_seq1	75	52	58	46	66	50
Q9UBJ2	comp63856_c0_seq1	163	86	76	51	105	78
Q16560	comp63873_c0_seq1	219	29	56	8	47	53
Q9H9B1	comp63876_c0_seq1	118	41	47	17	46	20
Q5M9N0	comp63880_c0_seq1	116	28	51	23	70	78
Q9NYR8	comp63891_c0_seq2	4722	2720	3123	1563	2871	1984
Q9UIJ7	comp63908_c0_seq1	131	34	96	12	52	67
P83881	comp63910_c1_seq1	1741	859	1057	624	1115	944
Q68DK2	comp63933_c0_seq1	360	185	188	78	197	131
O75935	comp63945_c0_seq1	199	94	123	67	121	120
O60260	comp63952_c0_seq1	222	102	132	62	222	130
O75629	comp63964_c0_seq2	659	381	445	181	433	332
Q9BT25	comp63973_c0_seq1	60	27	27	21	33	33
P51665	comp63974_c0_seq1	348	165	227	97	224	199
Q96T60	comp63978_c0_seq5	556	185	290	118	385	282
Q9HBR0	comp63994_c0_seq1	422	205	277	48	95	51
Q0VFZ6	comp64019_c0_seq1	304	54	132	74	173	206
Q7Z4H7	comp64035_c0_seq2	171	58	81	45	71	50
Q9H6J7	comp64055_c0_seq5	116	55	59	24	55	52
Q8WUF8	comp64058_c0_seq1	522	237	323	156	413	303
O00231	comp64068_c0_seq1	545	153	237	165	322	328
Q01968	comp64138_c0_seq5	681	308	430	142	394	193
O15212	comp64149_c0_seq1	120	67	81	67	100	105
Q99675	comp64160_c0_seq1	476	346	396	168	442	363
Q96B67	comp64166_c0_seq1	354	176	249	74	167	100
Q9ULI0	comp64168_c0_seq1	236	88	120	64	144	122
Q8TBY8	comp64205_c0_seq1	166	20	59	30	89	78
Q9NUX5	comp64206_c0_seq1	399	183	202	62	204	146
Q8IUD2	comp64213_c0_seq2	759	229	365	134	360	368
Q9NV58	comp64221_c0_seq2	304	167	181	44	130	92
Q92979	comp64231_c0_seq1	487	232	319	102	207	159
Q96G04	comp64249_c0_seq1	54	32	34	10	24	21
P58546	comp64251_c0_seq1	761	332	461	406	597	515
O15041	comp64266_c0_seq4	883	308	553	163	554	415
Q9NX07	comp64268_c1_seq1	228	97	123	56	136	141
Q8TBR7	comp64279_c0_seq3	148	59	88	59	155	111
O95249	comp64286_c0_seq2	228	67	119	33	126	131
Q8IUH5	comp64301_c0_seq1	619	370	439	221	435	301
Q6ZNW5	comp64303_c0_seq2	107	62	87	41	73	41
Q9NYI0	comp64310_c0_seq1	347	202	281	102	210	162
O95470	comp64312_c0_seq2	865	375	496	160	292	227
Q9P1Y6	comp64317_c0_seq1	131	68	61	42	79	67
P30043	comp64330_c0_seq2	25	12	17	8	14	10
O75691	comp64342_c0_seq1	686	338	421	177	381	275
Q92843	comp64363_c0_seq1	235	95	94	21	62	52
Q9NXG0	comp64366_c0_seq1	40	11	9	5	11	26
Q86TZ1	comp64393_c0_seq4	404	203	256	95	267	184
P53801	comp64399_c0_seq1	1228	547	771	354	1092	883
Q96G03	comp64405_c0_seq2	165	64	126	53	148	104
Q8TD22	comp64413_c0_seq6	148	55	83	41	128	90
Q9BV99	comp64416_c0_seq1	421	156	232	113	254	212
P28482	comp64438_c0_seq1	1449	620	939	438	1056	871
Q8IVN8	comp64471_c0_seq1	4783	2509	2532	963	1936	1523
Q8NB14	comp64474_c0_seq1	230	137	151	66	194	132
Q96BA8	comp64479_c0_seq1	2653	1344	1954	1620	3154	2602
Q16595	comp64481_c0_seq1	191	87	96	80	150	148
Q9Y5X5	comp64489_c0_seq1	51	32	37	43	93	85
Q96S55	comp64496_c0_seq1	160	39	81	28	75	86
Q9NU22	comp64500_c0_seq1	908	255	345	84	248	228
Q9UBR2	comp64515_c0_seq1	2505	1453	1787	886	1824	1461
Q8WUT9	comp64522_c0_seq4	158	92	88	62	131	128
Q9NRX4	comp64535_c0_seq1	108	39	91	50	61	74
Q9HCS5	comp64547_c0_seq1	492	292	310	77	206	153
O14746	comp64551_c0_seq2	95	31	26	12	15	12
P78316	comp64570_c0_seq1	245	64	120	43	76	63
Q9P2S6	comp64571_c0_seq3	362	119	213	81	220	181
Q6W2J9	comp64581_c0_seq1	588	238	442	194	431	266
O00303	comp64588_c0_seq1	828	385	412	298	600	503
Q16656	comp64607_c0_seq2	484	198	296	145	316	234
Q8NE18	comp64617_c0_seq3	317	117	224	83	201	166
P83876	comp64647_c0_seq1	198	96	153	52	158	130
Q5R3I4	comp64649_c0_seq1	189	108	141	55	95	71
Q96GM8	comp64687_c0_seq2	105	38	47	21	79	47
Q9ULR3	comp64711_c0_seq1	396	216	293	173	329	272
Q3KQZ1	comp64748_c0_seq1	59	28	38	27	34	47
Q6ZRQ5	comp64755_c0_seq7	190	80	103	41	80	81
Q9H0K4	comp64767_c0_seq1	1813	578	945	424	984	991
Q9H160	comp64768_c0_seq1	210	64	104	38	94	60
Q2LD37	comp64774_c0_seq1	446	261	300	62	125	36
Q16720	comp64777_c0_seq1	3453	1976	2723	1111	2458	1820
P47756	comp64778_c0_seq1	2075	1134	1410	762	1613	1323
Q8N573	comp64812_c0_seq1	903	338	552	227	463	353
Q3T906	comp64814_c0_seq1	287	103	185	76	143	144
O95568	comp64822_c1_seq1	36	21	21	5	19	24
Q96DV4	comp64843_c0_seq1	80	31	53	17	55	53
P04035	comp64844_c0_seq1	775	284	402	145	382	306
O43603	comp64853_c0_seq2	49	22	27	12	6	13
P22304	comp64855_c0_seq9	37	16	38	28	78	61
A2RUC4	comp64857_c0_seq5	114	28	65	25	55	49
Q8IYR2	comp64858_c0_seq2	1219	429	593	212	476	361
Q5VVW2	comp64870_c1_seq1	313	127	230	32	55	32
Q8NEG5	comp64878_c0_seq1	59	44	49	27	38	54
Q6PUV4	comp64918_c0_seq1	224	83	111	36	101	102
Q5TAQ9	comp64921_c0_seq1	289	211	287	52	64	64
Q15007	comp64930_c0_seq1	293	114	159	65	170	152
Q96FH0	comp64947_c0_seq1	129	78	91	39	68	57
Q569K6	comp64959_c0_seq1	133	29	79	21	62	52
Q9BRQ4	comp64960_c0_seq2	52	18	30	21	44	38
P61009	comp64970_c0_seq1	419	211	238	230	329	326
Q96K30	comp64971_c0_seq1	122	57	83	29	100	91
Q7L592	comp64993_c0_seq1	94	54	53	41	79	59
Q9Y2K7	comp65004_c0_seq5	1331	531	755	179	467	326
Q2PPJ7	comp65021_c0_seq1	601	225	359	115	318	222
O43903	comp65027_c1_seq1	885	282	494	176	399	344
Q9H4P4	comp65036_c0_seq1	224	89	111	67	154	123
Q9Y6A9	comp65042_c0_seq1	252	183	182	144	173	146
Q86TJ2	comp65051_c0_seq1	78	26	31	7	41	28
Q8N960	comp65068_c0_seq1	321	126	167	102	210	149
Q12766	comp65069_c0_seq1	101	42	42	14	40	25
Q9UQ90	comp65080_c1_seq4	617	257	406	189	393	276
O60942	comp65107_c0_seq1	633	252	359	147	367	254
P61371	comp65143_c0_seq2	280	115	174	69	208	149
Q96HR3	comp65160_c0_seq3	74	24	41	15	29	35
O15144	comp65161_c0_seq1	1190	394	574	360	855	747
O75771	comp65165_c0_seq1	162	67	84	55	154	126
Q15369	comp65166_c0_seq1	986	519	641	365	977	847
P52434	comp65166_c1_seq1	374	228	266	169	324	257
Q00535	comp65182_c0_seq1	199	80	110	53	142	126
O15355	comp65187_c0_seq1	120	62	79	34	65	63
Q6P2H8	comp65206_c0_seq3	109	47	82	29	86	76
Q9Y2H2	comp65220_c0_seq3	675	350	397	138	293	232
O14829	comp65221_c0_seq1	134	102	123	39	97	56
Q6ZVK8	comp65222_c0_seq1	27	18	30	11	24	31
Q6PJW8	comp65242_c0_seq2	128	28	73	17	82	68
P35475	comp65243_c0_seq1	118	73	79	27	36	30
Q06187	comp65249_c0_seq1	324	139	191	116	353	247
Q96HE9	comp65266_c0_seq1	17	7	9	14	11	12
Q9C0E2	comp65268_c0_seq1	114	66	81	20	41	36
A6NJV1	comp65280_c0_seq1	70	27	49	15	43	63
Q13769	comp65290_c0_seq3	435	118	200	72	226	199
Q9H6Z9	comp65305_c0_seq1	53	17	30	18	28	30
O75167	comp65306_c0_seq1	174	66	101	50	112	86
A6NJI9	comp65316_c0_seq2	260	84	147	67	177	189
O75586	comp65327_c0_seq1	72	27	40	17	59	45
Q96I76	comp65332_c0_seq2	36	20	21	9	31	21
Q9Y2M5	comp65360_c0_seq1	129	37	71	27	102	92
Q8WUS8	comp65375_c0_seq2	66	21	34	18	40	28
Q96QE5	comp65386_c0_seq1	55	33	30	23	49	33
Q6GTS8	comp65389_c0_seq1	61	25	37	27	41	39
Q86UY6	comp65393_c0_seq2	170	46	102	40	80	84
Q8TC84	comp65394_c0_seq1	261	152	218	72	160	118
Q06609	comp65412_c0_seq1	78	32	34	29	69	39
Q9P2B7	comp65415_c0_seq1	93	43	49	21	70	72
O15068	comp65424_c0_seq1	494	126	277	101	262	208
Q96K37	comp65426_c0_seq3	87	40	68	28	77	63
P00568	comp65428_c0_seq1	290	90	170	96	241	250
